id,word,meaning_en,meaning_kr,english_form,eng_def,sentence_kr,sentence_en,level,level_label,dict_level,pos,dict_pos,has_entry
1,것,A thing or  an object,정확히 가리키는 대상이 정해지지 않은 사물이나 사실.,something,A bound noun used to refer to a thing or fact that is not specified or determind by someone.,이번 일로 지수는 많은 것을 깨달았다.,,A,Beginner,초급,5,의존 명사,1
2,하다,To do,"어떤 행동이나 동작, 활동 등을 행하다.",do; perform,"To perform a certain move, action, activity, etc.",학생은 선생님의 질문에 대답을 했다.,,A,Beginner,초급,2,동사,1
3,있다,To be,사람이나 동물이 어느 곳에서 떠나거나 벗어나지 않고 머물다.,be; stay,For a person or animal to remain in a certain place without leaving or getting out of it.,나는 서울에 일 년 동안 있었다.,,A,Beginner,초급,2,동사,1
6,수,"way,method",생물에서 새끼를 배지 않거나 열매를 맺지 않는 성.,male,The gender of living things that does not become pregnant or bear fruit.,홍합의 암과 수는 색깔로 구별할 수 있다고 한다.,,A,Beginner,,5,명사,1
7,하다,To do,"어떤 행동이나 동작, 활동 등을 행하다.",do; perform,"To perform a certain move, action, activity, etc.",학생은 선생님의 질문에 대답을 했다.,,A,Beginner,초급,보,동사,1
8,나,Me,말하는 사람이 친구나 아랫사람에게 자기를 가리키는 말.,I,A pronoun used to indicate oneself to a friend or a younger person.,나는 대한민국 서울에서 태어났다.,,A,Beginner,초급,8,대명사,1
10,없다,"Do not exist, absent",사람이나 사물 등이 실제로 존재하지 않는 상태이다.,non-existent,(for a person or thing to be) Not existent in reality.,나는 신은 없다고 믿는 무신론자이다.,,A,Beginner,초급,4,형용사,1
11,않다,"To not be, to not do",어떤 행동을 안 하다.,do not,Not to do an action.,그는 아무 말도 않고 가만히 앉아 있었다.,,A,Beginner,중급,2,동사,1
12,사람,Person,생각할 수 있으며 언어와 도구를 만들어 사용하고 사회를 이루어 사는 존재.,human; man,"A being that is capable of thinking, makes and uses languages and tools and lives by forming a society with others.",사람은 생각하는 동물이다.,,A,Beginner,초급,1,명사,1
13,우리,"we,our",짐승을 가두어 기르는 곳.,pen; hutch; barn,The place for locking up animals to raise them. ,아버지는 소를 우리로 몰아넣으셨다.,,A,Beginner,,8,명사,1
15,그,He,말하는 사람과 듣는 사람이 아닌 사람을 가리키는 말.,(no equivalent expression),A pronoun used to indicate people who are not the speaker or listener.,그는 그녀가 두고 간 손수건을 손에 꼭 쥐었다.,,A,Beginner,초급,8,대명사,1
16,아니다,To not be,어떤 사실이나 내용을 부정하는 뜻을 나타내는 말.,not,Used to negate a fact or statement.,이 조각은 내가 만든 작품이 아니었다.,,A,Beginner,초급,4,형용사,1
17,보다,To try,눈으로 대상의 존재나 겉모습을 알다.,see; look at; notice,To perceive with eyes the existence or appearance of an object.,나는 잔디밭에 누워 파란 하늘을 보는 것을 좋아한다.,,A,Beginner,초급,2,동사,1
20,거,That thing,"어떤 사물이나 현상, 또는 사실.",thing,"A bound noun used to refer to a certain thing or phenomenon, or fact.",아직 스무 살도 안 된 그 새파란 게 감히 우리 선생님에게 대들었다.,,A,Beginner,초급,5,의존 명사,1
21,보다,To see,눈으로 대상의 존재나 겉모습을 알다.,see; look at; notice,To perceive with eyes the existence or appearance of an object.,나는 잔디밭에 누워 파란 하늘을 보는 것을 좋아한다.,,A,Beginner,초급,보,동사,1
22,같다,To be similar,서로 다르지 않다.,same; identical; equal,Not different from each other.,나는 여동생과 키가 같다.,,A,Beginner,초급,4,형용사,1
23,주다,"To give, to do for a person",물건 등을 남에게 건네어 가지거나 쓰게 하다.,give,To give an item to someone else so he/she can have or use it.,언니가 동생에게 연필을 주었다.,,A,Beginner,초급,도,동사,1
24,대하다,"Face, confront",마주 향해 있다.,face; confront,To be face to face.,스님은 벽을 대하고 앉아서 명상을 시작했다.,,B,Intermediate,중급,1,동사,1
25,가다,To go,한 곳에서 다른 곳으로 장소를 이동하다.,go; travel,To move from one place to another place.,나는 친구에게 갈 때마다 책을 빌려 왔다.,,A,Beginner,초급,2,동사,1
26,년,Year,(낮잡아 이르는 말로) 여자.,bitch,(disparaging) A woman. ,나는 그 여자가 마음에 들지 않아 속으로 망할 년이라고 욕을 했다.,,A,Beginner,,5,의존 명사,1
27,한,"One, a single",하나의.,one,One.,나는 그녀에게 장미꽃 한 송이를 주었다.,,A,Beginner,초급,6,관형사,1
28,말,"words,speaking",생각이나 느낌을 표현하고 전달하는 사람의 소리.,speech; words,Human voice through which thoughts or feelings are expressed and conveyed.,감기에 걸려 목이 아파서 말이 잘 안 나온다.,,A,Beginner,초급,1,명사,1
29,일,Work,무엇을 이루려고 몸이나 정신을 사용하는 활동. 또는 그 활동의 대상.,work; labor,An activity that uses one's body or mind in order to achieve something; the object of such an activity.,나는 일을 마치고 열두 시가 다 되서야 집에 왔다.,,A,Beginner,초급,1,명사,1
30,이,"A person, a man/woman","몸의 길이는 1~4mm로 편평한 모양이며, 사람의 몸에 붙어 살면서 피를 빨아 먹는 곤충.",louse,A blood-sucking insect with a flat body measuring 1-4 mm in length that lives on the body of a human or an animal.,온몸이 간지러운 유민이는 몸에 이가 붙어 있는 것은 아닌지 의심했다.,,A,Beginner,,8,명사,1
32,말하다,Speak,어떤 사실이나 자신의 생각 또는 느낌을 말로 나타내다.,say; tell; speak; talk,To verbally present a fact or one's thoughts or feelings.,그녀는 결혼에 대한 자신의 생각을 부모님께 말했다.,,A,Beginner,,2,동사,1
33,위하다,To do for the sake of,무엇을 이롭게 하거나 도우려 하다.,do in favor of; do for the benefit of,To try to benefit or help someone or something.,오늘 생일을 맞은 지수를 위해서 친구들은 깜짝 파티를 준비하고 있었다.,,B,Intermediate,중급,2,동사,1
34,그러나,However or  but still,앞의 내용과 뒤의 내용이 서로 반대될 때 쓰는 말.,but; however,A word used to indicate that a statement is the opposite of the following statement.,승규는 술을 몹시 좋아한다. 그러나 잘 마시지는 못한다.,,A,Beginner,초급,3,부사,1
35,오다,To come,무엇이 다른 곳에서 이곳으로 움직이다.,come,For something to move from another place to here.,"민준아, 그쪽에 자리가 좁으면 이쪽으로 더 와.",,A,Beginner,초급,2,동사,1
36,알다,To know,"교육이나 경험, 생각 등을 통해 사물이나 상황에 대한 정보 또는 지식을 갖추다.",know; understand,"To have information or knowledge about an object or situation through education, experience, thoughts, etc.",선생님은 학생들에게 어려운 내용을 알기 쉽게 설명해 주셨다.,,A,Beginner,초급,2,동사,1
37,씨,~ Mr.,"식물의 열매 속에 있는, 앞으로 싹이 터서 자라게 될 단단한 물질.",seed,The hard substance inside the fruit of a plant that will bud and grow.,농부는 봄이 되자 곡식의 씨를 밭에 뿌렸다.,,A,Beginner,중급,5,명사,1
38,그렇다,That is right or  yes.,"상태, 모양, 성질 등이 그와 같다.",so; as such; like that,"A state, appearance, characteristic, etc. being as such.",지수는 가만히 있어도 그렇고 숨 쉴 때도 그렇고 가슴이 아프다고 했다.,,A,Beginner,초급,4,형용사,1
39,크다,"To be big, large",동식물이 자라다.,grow,For an animal or plant to grow.,물을 많이 주면 오히려 나무가 크지 못한다고 한다.,,A,Beginner,초급,4,동사,1
41,일,One day,무엇을 이루려고 몸이나 정신을 사용하는 활동. 또는 그 활동의 대상.,work; labor,An activity that uses one's body or mind in order to achieve something; the object of such an activity.,나는 일을 마치고 열두 시가 다 되서야 집에 왔다.,,A,Beginner,초급,5,명사,1
42,사회,"culture,society","회의, 대회, 의식 등의 행사를 진행함.",host; presiding,"The act of presiding over a gathering, meeting, ceremony, etc.",아나운서가 모교 축제의 사회를 부탁받고 흔쾌히 응했다.,,B,Intermediate,고급,1,명사,1
43,많다,"many,much","수나 양, 정도 등이 일정한 기준을 넘다.",plentiful; many; a lot of,"A number, amount, etc., exceeding a certain standard.",승규는 장난기가 많은 개구쟁이이다.,,A,Beginner,초급,4,형용사,1
44,안,~ not ~ + VERB,어떤 물체나 공간의 둘레에서 가운데로 향한 쪽. 또는 그러한 부분.,inside,The side that faces the center from the circumference of an object or space; such a part.,지수는 외투를 벗어서 옷장 안에 넣었다.,,A,Beginner,초급,3,명사,1
45,좋다,To be good,어떤 것의 성질이나 내용 등이 훌륭하여 만족할 만하다.,good; great; excellent,Excellent and satisfactory in features and content.,지수는 옷을 만드는 솜씨가 좋다.,,A,Beginner,초급,4,형용사,1
46,더,More,보태어 계속해서.,more,In a continuous addition.,어머니는 내 말을 더 듣기 싫으셨는지 조용히 방을 나가셨다.,,A,Beginner,초급,3,부사,1
47,받다,Receive,다른 사람이 주거나 보내온 것을 가지다.,receive; get,To take something that someone else has given or sent.,나는 부모님으로부터 용돈을 받는다.,,A,Beginner,초급,2,동사,1
48,그것,That thing,듣는 사람에게 가까이 있거나 듣는 사람이 생각하고 있는 것을 가리키는 말.,(no equivalent expression),"A pronoun used to indicate something close to the listener, or something the listener has in mind.","이것은 내 책이고, 네 옆에 있는 그것이 네 책이다.",,A,Beginner,초급,8,대명사,1
49,집,House,사람이나 동물이 추위나 더위 등을 막고 그 속에 들어 살기 위해 지은 건물.,house,"A structure built by a human or animal to serve as protection from cold, heat, etc., and as a place to live in.",우리는 방이 세 개 딸린 집에서 살고 있다.,,A,Beginner,초급,1,명사,1
50,나오다,Come out,안에서 밖으로 오다.,come out; get out,To come out.,실컷 수영하고 나서 물 밖에 나오니 몸이 으슬으슬 춥다.,,A,Beginner,초급,2,동사,1
52,그리고,And or  and then,앞의 내용에 이어 뒤의 내용을 단순히 나열할 때 쓰는 말.,and,A word used to connect the preceding statement with the following one.,나는 집에 돌아왔다. 그리고 곧 잠이 들었다.,,A,Beginner,초급,3,부사,1
53,문제,"question,problem",답을 요구하는 물음.,problem; question,A question that demands an answer.,나는 시험지를 받고 문제들을 쭉 한번 훑어 보았다.,,A,Beginner,초급,1,명사,1
54,그런,Such a,"상태, 모양, 성질 등이 그러한.",like that,"A state, appearance, characteristic, etc. being as such.",지수는 얼굴이 작고 키가 큰 그런 남자를 좋아한다.,,B,Intermediate,초급,6,관형사,1
55,살다,To live,생명을 지니고 있다.,live; be alive,To be alive.,그들은 건강하게 오래오래 살았다.,,A,Beginner,초급,2,동사,1
56,저,That,말하는 사람이 듣는 사람에게 자신을 낮추어 가리키는 말.,I; me,The humble form used by the speaker to refer to himself/herself for the purpose of showing humility to the listener.,저에게 말씀해 보세요.,,A,Beginner,초급,8,대명사,1
57,못하다,Be impossible,어떤 일을 일정한 수준에 이르지 못하게 하거나 그 일을 할 능력이 없다.,be incapable; fail to,To fail to make a certain work reach a certain level or to not own the ability to do so.,새댁은 살림을 못해서 집이 매우 어수선했다.,,A,Beginner,초급,2,동사,1
58,생각하다,To think,사람이 머리를 써서 판단하거나 인식하다.,think,To judge or perceive something by using one's brain.,사건의 선후 관계를 생각하다 보니 문제의 원인을 알 것 같았다.,,A,Beginner,,2,동사,1
59,모르다,To not know,"사람이나 사물, 사실 등을 알지 못하거나 이해하지 못하다.",not know,"To have no knowledge or understanding of a person, object or fact.",어머니는 집안일을 하느라 밖에 비가 오는 것도 모르고 계셨다.,,A,Beginner,초급,2,동사,1
60,속,The inside,거죽이나 껍질로 싸인 물체의 안쪽 부분.,inside stuff; interior; flesh,The inside part of an object that is covered with a coat or skin.,그 배추는 싱싱하고 속이 꽉 차 있었다.,,A,Beginner,초급,1,명사,1
61,만들다,To make,힘과 기술을 써서 없던 것을 생기게 하다.,make; create; produce; manufacture,"To create something that did not exist, using one's power or skill.",사람들은 포도로 술을 만들어 마신다.,,A,Beginner,초급,2,동사,1
62,데,"Place, point, instance",곳이나 장소.,de,A bound noun meaning a place or location.,민준이는 들를 데가 있다며 수업이 끝나자마자 빠르게 교실을 나갔다.,,B,Intermediate,중급,5,의존 명사,1
64,앞,"In front of, before",향하고 있는 쪽이나 곳.,front,The direction or place one is facing.,서점 앞의 가판대에 인기 잡지가 나열되어 있다.,,A,Beginner,초급,1,명사,1
65,경우,A case or  an instance,당연히 행하여야 할 바른 이치.,reason; principle,A proper principle that one is expected to follow. ,나는 직장 동료의 경우 없는 행동에 몹시 불쾌해졌다.,,B,Intermediate,중급,1,명사,1
66,중,"The center, the middle",절에서 살면서 부처의 가르침을 실천하고 불교를 널리 알리는 사람.,monk;  Buddhist monk,A person who lives in a Buddhist temple and practices and promotes the teachings of the Buddha.,스님은 뜻한 바가 있어서 중이 되었다.,,B,Intermediate,중급,5,명사,1
67,어떤,"What kind of, what sort of","사람이나 사물의 특징, 내용, 성격, 성질, 모양 등이 무엇인지 물을 때 쓰는 말.",what,"A word used when asking what characteristic, content, personality, quality, shape, etc., a person or object has.",모든 사람들이 그가 어떤 모습을 하고 나타날지 모두 궁금해 했다.,,A,Beginner,초급,6,관형사,1
68,잘,Well,바르고 선하게.,well,Rightly and virtuously.,선생님은 마음을 잘 써야 복을 받는다고 강조해 말씀하셨다.,,A,Beginner,초급,3,부사,1
69,그녀,She,앞에서 이미 이야기한 여자를 가리키는 말.,she; her,A pronoun used to indicate the previously-mentioned woman.,그녀는 예전에 내가 가난할 때 나를 항상 도와주었던 사람이었다.,,A,Beginner,중급,8,대명사,1
70,먹다,"Eat, chow down on",귀로 소리를 듣지 못하게 되다.,be deaf,To become unable to hear sounds through one's ears.,한쪽 귀가 먹어서 사람들 말소리가 잘 안 들린다.,,A,Beginner,,2,동사,1
72,자신,"one’s own self, one\'s own body",바로 그 사람.,self; oneself,The person himself/herself.,그는 그녀가 자신을 바라보고 웃자 기분이 좋아졌다.,,B,Intermediate,초급,1,명사,1
73,문화,culture,"사회의 공동체가 일정한 목적 또는 생활 이상을 실현하기 위하여 만들고, 익히고, 공유하고, 전달하는 물질적, 정신적 활동.",culture,"The physical and mental activities made, learned, shared, and delivered by a social community in order to realize a certain goal or ideal life.",지금의 신세대 문화는 기성세대의 문화와 큰 차이를 보인다.,,B,Intermediate,초급,1,명사,1
74,원,"A unit of south korean  money, KRW",둥근 모양이나 형태.,circle,A round shape or form. ,사람들이 둥근 원을 만들어 강강술래를 했다.,,A,Beginner,중급,5,명사,1
75,생각,Thought,사람이 머리를 써서 판단하거나 인식하는 것.,thought,The act of a human being using his/her brains to judge or perceive something.,오랜 생각 끝에 이사하기로 결정했기 때문에 더 이상 망설일 것도 없었다.,,A,Beginner,초급,1,명사,1
76,어떻다,"how,what.. do you think of","생각, 느낌, 상태, 형편 등이 어찌 되어 있다.",such,"Being such in one's thoughts, feelings, state, situation, etc.",선생님께서 많이 아프셨다고 들었는데 요즘은 건강이 어떻습니까?,,A,Beginner,초급,4,형용사,1
77,명,Person counter,‘이름’의 뜻을 나타내는 말.,name,The proper name of a person or thing.,,,A,Beginner,중급,5,명사,1
78,통하다,"Run, lead; flow; go through",막힘이 없이 흐르다.,flow; pass; circulate,To flow well without any blockage.,아버지는 다듬은 생선을 바람이 잘 통하는 곳에서 말리셨다.,,B,Intermediate,중급,2,동사,1
79,그러다,"and so, and then, well",앞에서 일어난 일이나 말한 것과 같이 그렇게 하다.,do so,To do what occurred or was stated previously.,설거지는 내가 할 테니까 우선 좀 쉬라는데도 그러네.,,C,Advanced,중급,1,동사,1
80,소리,"A sound,noise",물체가 진동하여 생긴 음파가 귀에 들리는 것.,sound; noise,Sound wave heard by the ear that is created when an object vibrates.,무슨 일이라도 났는지 밖에서 사람들 소리가 시끄럽게 들려 왔다.,,B,Intermediate,초급,1,명사,1
81,다시,Again,같은 말이나 행동을 반복해서 또.,again,Repeatedly with the same words or behavior.,남자는 노래 가사를 외울 때까지 몇 번이고 노래를 다시 불렀다.,,A,Beginner,초급,3,부사,1
82,다른,Different,해당하는 것 이외의.,different; other,Other than the one concerned.,민준은 고객들을 상대하느라 다른 업무를 할 시간이 없었다.,,A,Beginner,초급,6,관형사,1
83,이런,"Such, like this","상태, 모양, 성질 등이 이러한.",this; such; of this kind,"A state, shape, nature, etc., being like this. ",이틀 동안 잠을 못 잤는데 이런 상태로 운전해도 될까?,,A,Beginner,초급,6,관형사,1
84,여자,"woman,female",여성으로 태어난 사람.,woman,A person who was born a female.,여자는 아이를 낳은 후 모성애가 생기기 마련이다.,,A,Beginner,초급,1,명사,1
85,개,Unit or  piece,냄새를 잘 맡고 귀가 매우 밝으며 영리하고 사람을 잘 따라 사냥이나 애완 등의 목적으로 기르는 동물.,dog,"An animal raised as a pet or hunting companion, because it has a good sense of hearing and smell, is intelligent, and makes a good companion to humans.",나는 흰 개 한 마리와 검은 고양이 한 마리를 함께 기른다.,,A,Beginner,초급,5,명사,1
86,정도,"grade,degree",사람이 따라야 할 올바른 길이나 정당한 도리.,right way,The right path or righteous principle that people should follow.,그는 언론인의 사명감과 윤리 의식을 가지고 정도를 걷는 기자였다.,,B,Intermediate,,1,명사,1
89,다,"All, everything",남거나 빠진 것이 없는 모든 것.,all; everything,Everything without anything left out or missing. ,이것이 지금 내가 가진 돈의 다이다.,,A,Beginner,초급,3,명사,1
90,좀,A little,분량이나 정도가 적게.,a little,In a small quantity or to a small degree.,음식이 모두가 먹기에는 좀 모자라다.,,A,Beginner,초급,3,부사,1
92,싶다,"want,hope",앞의 말이 나타내는 내용을 하고자 하는 의도나 욕구가 있음을 나타내는 말.,sipda,An auxiliary adjective used to indicate that the speaker has an intention or desire to do what the preceding statement describes.,지수는 문득 여행을 가고 싶다고 생각했다.,,A,Beginner,,보,보조 형용사,1
93,보이다,"see,catch sight of",눈으로 대상의 존재나 겉모습을 알게 되다.,be viewed; be visible; be in sight,To come to know the presence or outward appearance of an object by looking at it.,문틈으로 책을 읽고 있는 그의 모습이 보인다.,,B,Intermediate,초급,2,동사,1
94,가지다,To have or  take or  hold,무엇을 손에 쥐거나 몸에 지니다.,have; hold,"To carry or keep something, or hold it in one's hands.",내가 가진 돈이라고는 천 원이 전부였다.,,A,Beginner,초급,2,동사,1
95,함께,"Together, with",여럿이서 한꺼번에 같이.,together; along with,In the state of several people being all together.,어려서부터 형과 나는 늘 함께 놀았다.,,A,Beginner,초급,3,부사,1
96,아이,Child,나이가 어린 사람.,child; kid,A young person.,아이는 아이스크림을 사달라고 엄마를 졸랐다.,,A,Beginner,초급,1,명사,1
97,지나다,"pass,elapse,go on",시간이 흘러 그 시기에서 벗어나다.,pass; elapse,To get out of a period as time passes.,벌써 가을이 지나고 겨울이 왔다.,,B,Intermediate,초급,2,동사,1
98,많이,A lot,"수나 양, 정도 등이 일정한 기준보다 넘게.",much; in large numbers; in large amounts,"In a state in which a number, amount, degree, etc., are larger than a certain standard. ",지난 밤에 술을 많이 마셨더니 속이 거북했다.,,A,Beginner,초급,3,부사,1
99,시간,Time,어떤 때에서 다른 때까지의 동안.,time,The amount of time from one point to another.,아버지는 은퇴 후 정원을 가꾸면서 시간을 보냈다.,,A,Beginner,초급,1,명사,1
100,너,You,"듣는 사람이 친구나 아랫사람일 때, 그 사람을 가리키는 말.",(no equivalent expression),A pronoun used to indicate the listener when he/she is the same age or younger.,"그가 내게 준 편지에는 ""너를 사랑해""라고 적혀 있었다.",,A,Beginner,초급,8,대명사,1
102,인간,"A person, a human being",생각할 수 있으며 언어와 도구를 만들어 사용하고 사회를 이루어 사는 존재.,human; human being,A social being that is capable of thinking and using language and tools.,인간은 사회적 동물이다.,,B,Intermediate,중급,1,명사,1
103,사실,"The truth, a fact",실제로 있었던 일이나 현재 일어나고 있는 일.,fact,An incident that actually happened or is in progress.,나는 그가 잡힌 사실을 확인하기 위해 경찰서에 전화를 걸었다.,,B,Intermediate,초급,1,명사,1
104,나다,To be born,피부 표면이나 땅 위로 솟다.,grow; sprout,To rise above the skin or ground.,봄이 되니 꽃밭에 새싹이 나기 시작했다.,,A,Beginner,초급,2,동사,1
105,이렇다,Like this,"상태, 모양, 성질 등이 이와 같다.",so; like this,"(for a state, appearance, nature to be) Like this.",음식이 보기엔 이렇지만 맛은 정말 괜찮아요.,,A,Beginner,초급,4,형용사,1
106,어머니,Mom,자기를 낳아 준 여자를 이르거나 부르는 말.,mother,A word used to refer to or address the woman who has given birth to you.,어느새 부쩍 늙어 버리신 어머니의 모습을 보니 마음이 아프다.,,A,Beginner,초급,1,명사,1
107,눈,Eyes,사람이나 동물의 얼굴에 있으며 빛의 자극을 받아 물체를 볼 수 있는 감각 기관.,eye,The sensory organ on the face of a person or animal that can see an object when stimulated by the light.,아이가 침대에 누워 눈을 감고 잠을 잔다.,,A,Beginner,초급,1,명사,1
108,뭐,Huh? (2) something,모르는 사실이나 사물을 가리키는 말.,what,A pronoun used to refer to a fact or object that one does not know of.,방금 뭐라고 했어?,,A,Beginner,초급,8,대명사,1
109,점,Store,비과학적인 방법으로 과거의 일을 알아맞히거나 현재나 미래의 운 등을 미리 판단하는 일.,fortune telling,"An unscientific way of guessing what happened in the past or telling someone's fortune, etc., in the present and future.",사업이 잘 풀리지 않자 그는 점을 한번 보기로 했다.,,B,Intermediate,고급,1,명사,1
110,의하다,"To be due to, owing to","어떤 사람, 행위, 이념 등에 기초하거나 그것을 이유로 하다.",be based on; be caused by; be grounded on,"To be founded on or be done due to a certain person, act, idea, etc.",악랄한 범죄를 저지른 남자는 법에 의하여 엄격하게 처벌될 것이다.,,B,Intermediate,고급,2,동사,1
111,시대,"An age,period",역사적으로 어떤 특징을 기준으로 나눈 일정한 기간.,period,A particular length of time that is historically divided according to certain characteristics.,오늘날은 정보의 양이 곧 힘이 되는 정보화 시대이다.,,B,Intermediate,중급,1,명사,1
112,다음,Next,어떤 차례에서 바로 뒤.,next; following,"Something that comes right after another in a sequence of time, place, turn, etc.",진료 대기 환자 중에서 나는 할머니 다음으로 세 번째였다.,,A,Beginner,초급,1,명사,1
113,이러하다,"Be this way, be like follows","상태, 모양, 성질 등이 이와 같다.",such; of this kind; of this sort,"A state, shape, property, etc., being like this.",지원자는 건방진 태도를 보여 주었고 이러한 태도는 결코 좋은 평가를 받을 수 없었다.,,B,Intermediate,,1,형용사,1
114,누구,Who,모르는 사람을 가리키는 말.,(no equivalent expression),A pronoun used to indicate a person that one does not know.,당신은 누구이기에 내 집 근처에서 어슬렁대는 거요?,,A,Beginner,초급,8,대명사,1
116,곳,Place,일정한 장소나 위치.,place; spot; location,A certain spot or location. ,나는 경치가 좋은 곳에 가면 항상 사진을 찍는다.,,A,Beginner,초급,1,명사,1
117,여러,"many,various",많은 수의.,several; many; a lot of,A large number of.,세계 지도를 보면 여러 나라의 위치와 수도를 알 수 있다.,,A,Beginner,초급,6,관형사,1
118,안,Inside,어떤 물체나 공간의 둘레에서 가운데로 향한 쪽. 또는 그러한 부분.,inside,The side that faces the center from the circumference of an object or space; such a part.,지수는 외투를 벗어서 옷장 안에 넣었다.,,A,Beginner,초급,1,명사,1
119,하나,One,"뜻, 마음, 생각 등이 일치하거나 모아지는 것.",one,"The state of sameness or consensus in a cause, mind, thought, etc.",우리는 하나 된 마음으로 우리 대표 팀이 승리하기를 간절히 빌었다.,,A,Beginner,,9,명사,1
120,세계,World,지구 위에 있는 모든 나라.,world; universe,All the countries on the earth. ,그는 세계 일곱 개 대륙의 가장 높은 산을 등정하기로 결심을 했다.,,B,Intermediate,초급,1,명사,1
121,버리다,"(following a verb) the verb\'s action is over, perhaps in a sad way",가지고 있을 필요가 없는 물건을 내던지거나 쏟거나 하다.,throw away; dump,To throw or pour out unnecessary things that one has had.,아버지는 버릴 책을 한데 모아 놓으셨다.,,A,Beginner,초급,보,동사,1
122,위,"The upper part, above",어떤 기준보다 더 높은 쪽. 또는 중간보다 더 높은 쪽.,top; higher part,A higher position than a certain standard; a higher position than the middle.,지붕을 뚫을 것 같은 세찬 빗소리에 머리 위가 소란스럽다.,,A,Beginner,초급,1,명사,1
123,운동,"Motion, movement",몸을 단련하거나 건강을 위하여 몸을 움직이는 일.,exercise,The act of moving one's body in order to train it or improve one's health.,어제 자기 전에 운동을 했더니 깊이 잠이 들었다.,,A,Beginner,초급,1,명사,1
124,퍼센트,Percent,전체 수량을 100으로 하여 그것에 대해 가지는 비율을 나타내는 단위.,percent,"A bound noun serving as a unit to express a ratio of something against the whole quantity, which is set as 100.",물은 우리 인체의 70퍼센트 정도를 차지한다.,,A,Beginner,중급,5,의존 명사,1
125,학교,School,"일정한 목적, 교과 과정, 제도 등에 의하여 교사가 학생을 가르치는 기관.",school,"An institution where teachers teach students in accordance with a certain purpose, curriculum, or policy, etc.",학교의 수업이 끝난 후 나는 친구들과 교실에 남아 공부를 했다.,,A,Beginner,초급,1,명사,1
126,자기,"Oneself, number one, numerouno, self",앞에서 이미 말한 사람을 도로 가리키는 말.,his; her; he; she,A pronoun used when the speaker refers to the person mentioned in the preceding statement.,수상자 발표를 듣고 지수는 자기 귀를 의심했다.,,B,Intermediate,중급,8,대명사,1
127,가장,Most,한 가족을 대표하고 책임지는 사람. 주로 집안의 남자 어른.,head of a household,"A person who represents and takes charge of the family, usually the eldest male of the family.",민준이는 부모님이 일찍 돌아가셔서 어린 나이에 가장이 되었다.,,A,Beginner,중급,3,명사,1
128,대통령,The president,"공화국 체제에서 국가를 대표하고 행정부 최고의 직위를 가진 사람, 또는 그 지위.",president,"In a republican system, a person who represents a country and holds the  highest position in the administration; or such a position. ",대통령의 정책에 대해 국회에서 질문을 던졌다.,,B,Intermediate,중급,1,명사,1
129,가지,One of the kind or  a sort,나무나 풀의 큰 줄기에서 갈라져 나간 작은 줄기.,branch; sprig; bough; twig,A small twig broken off from a branch of a tree or blade of grass.,장미의 어린 가지에는 이슬이 맺혀 있었다.,,B,Intermediate,중급,5,명사,1
131,시작하다,"To start,begin",어떤 일이나 행동의 처음 단계를 이루거나 이루게 하다.,start; begin; initiate,To constitute or cause to constitute the initial phase of an affair or action.,벼락이 치더니 비가 폭포처럼 쏟아지기 시작한다.,,A,Beginner,,2,동사,1
132,바로,"Right, correctly",모양이 비뚤어지거나 굽은 데가 없이 곧게.,straight; upright,In a straight line without being curved or crooked. ,미술 수업 시간에는 선을 바로 긋는 연습부터 했다.,,A,Beginner,초급,3,부사,1
133,어느,"Some, a certain",여럿 중에서 어떤.,which,Asking for particular something or someone within a number of things.,어느 계절을 좋아하세요?,,A,Beginner,초급,6,관형사,1
134,그래서,And so accordingly,"앞의 내용이 뒤의 내용의 원인이나 근거, 조건 등이 될 때 쓰는 말.",so; therefore,A word used when the preceding statement is the basis for the following statement.,학교가는 길에 차가 많이 막혔다. 그래서 지수는 제시간에 도착할 수가 없었다.,,A,Beginner,초급,3,부사,1
135,무엇,"That thing,whatever",모르는 사실이나 사물을 가리키는 말.,what,A word indicating an unknown fact or thing. ,저 사람 이름은 무엇입니까?,,A,Beginner,초급,8,대명사,1
136,정부,Government,"입법, 사법, 행정의 삼권을 포함하는 통치 기구.",government,"A governing body composed of the three branches of legislature, judiciary and executive.",오늘은 민주주의 정부 수립 기념일이다.,,C,Advanced,중급,1,명사,1
137,모든,Every one,빠지거나 남는 것 없이 전부인.,every	,All without exception or without anything or anyone left. ,나는 내가 알고 있는 모든 지식을 남김없이 아이들에게 가르쳐 주고 싶었다.,,A,Beginner,초급,6,관형사,1
138,번,"Number, how many times",일의 차례를 나타내는 말.,beon,A bound noun used to indicate the sequence of a task.,우리는 선반 위에 놓인 둘째 번 물건을 사기로 했다.,,A,Beginner,초급,5,의존 명사,1
139,그거,That thing,듣는 사람에게 가까이 있거나 듣는 사람이 생각하고 있는 것을 가리키는 말.,(no equivalent expression),A pronoun used to indicate something close to the listener or something the listener has in mind.,"선생님은 내 만화책을 가리키며 ""그게 뭐야?""라고 물으셨다.",,A,Beginner,초급,8,대명사,1
140,돈,Money,물건을 사고팔 때나 일한 값으로 주고받는 동전이나 지폐.,money,A coin or bill that is exchanged when trading goods or labor.,그는 공사장에서 하루 종일 일하고 돈 오만 원을 받았다.,,A,Beginner,초급,1,명사,1
