id,word,meaning_en,meaning_kr,english_form,eng_def,sentence_kr,sentence_en,level,level_label,dict_level,pos,dict_pos,has_entry
1105,업무,"Buisness, duty",직장 등에서 맡아서 하는 일.,work; task; business,"The work assigned in a workplace, etc. ",아버지는 과중한 업무로 인해 쓰러지셨다.,,B,Intermediate,중급,1,명사,1
1106,입시,An entrance examination,입학하기 위해 치르는 시험.,entrance examination,"An examination that one has to take to enter a college, etc. ",대다수의 학생들은 새로운 고등학교 입시 제도에 불만을 나타냈다.,,C,Advanced,중급,1,명사,1
1107,준비하다,To prepare,미리 마련하여 갖추다.,prepare,To have something in place with advance preparations.,나는 손님들이 올 시간에 맞춰서 점심을 준비했다.,,A,Beginner,,2,동사,1
1108,청소년,"Young boys and girls, teenagers","아직 성인이 되지 않은, 나이가 십 대 정도인 어린 사람.",teenager,A person in his/her teens who is not yet an adult.,연예인의 화려한 겉모습은 어린 청소년들에게 선망의 대상이 되었다.,,B,Intermediate,초급,1,명사,1
1110,응,"Yes, i see!",상대방의 부름에 대답할 때 쓰는 말.,yes,An exclamation uttered when the speaker answers someone's call.,,,B,Intermediate,초급,10,감탄사,1
1111,이기다,To win,"내기나 시합, 싸움 등에서 상대를 누르고 더 좋은 결과를 내다.",win; beat; defeat,"To beat and perform better than one's opponent in a bet, match, fight, etc.",나는 월드컵 우승 팀을 맞히는 내기에서 친구들에게 이겼다.,,B,Intermediate,초급,2,동사,1
1112,찾아보다,To go meet somebody,어떤 사람이 있는 곳에 가서 그 사람을 만나다.,visit,To go to the place where a person is located and meet him/her.,김 노인은 수년 동안 찾아보는 이 하나 없이 혼자 외롭게 살고 있었다.,,B,Intermediate,초급,2,동사,1
1113,취하다,"To adopt, assume, take",일정한 조건에 맞는 것을 골라 가지다.,take; keep,To choose and keep something that meets a certain condition.,스승님은 남에게서 훌륭한 점을 취하여 그 선행을 실천하라고 하셨다.,,B,Intermediate,고급,2,동사,1
1114,다루다,"Treat, deal with",어떤 것을 일거리로 삼다.,do,To do something as one's task.,민준은 쇠를 다루는 일을 하기 때문에 손이 거칠었다.,,C,Advanced,중급,2,동사,1
1115,달,The moon,밤이 되면 하늘에 뜨는 동그랗고 밝은 빛이 나는 천체.,moon,"A bright, round celestial body that apprears in the sky at night.",어머니는 매일 밤 달을 보며 소원을 빌었다.,,A,Beginner,초급,1,명사,1
1116,사장,Company boss,회사를 대표하고 회사의 일을 책임지는 사람.,president; chief executive,A person who represents a company and is responsible for corporate affairs. ,월급을 제대로 받지 못한 회사 직원들은 사장에게 항의했지만 아무런 답이 없었다.,,A,Beginner,초급,1,명사,1
1117,삼월,March,일 년 열두 달 가운데 셋째 달.,March,"The third month of a year, out of twelve months.",삼월 초의 캠퍼스는 신입생들로 늘 활기가 넘친다.,,A,Beginner,초급,1,명사,1
1120,그렇지만,But or  however,"앞에서 말한 내용과 대립되는 내용을 나타내어, 그것이 사실이지만.",but; however; nevertheless,A word used to say something opposed to the preceding statement; although it is true.,직장 일이 쉽지는 않았다. 그렇지만 그렇다고 포기할 수도 없었다.,,A,Beginner,초급,3,부사,1
1122,선배,one’s senior,같은 분야에서 자기보다 먼저 활동하여 경험이나 지위 등이 더 앞선 사람.,senior; veteran,A person who is more experienced and holds a higher position than oneself because he/she started his/her career in the same field earlier. ,나를 지도해 주신 김 부장님은 나에게 선배이자 스승이다.,,B,Intermediate,초급,1,명사,1
1123,업체,A business enterprise,이익을 얻기 위해서 특정 사업을 하는 단체.,company; business entity; enterprise,An organization that does a certain business for gaining profits. ,우리 회사는 이번 심사에서 모범 업체로 선정이 되었다.,,C,Advanced,중급,1,명사,1
1124,키,"stature,height",사람이나 동물이 바로 섰을 때의 발에서부터 머리까지의 몸의 길이.,height,The length of a person or animal in an upright position that is measured from the feet to the head.,그는 키가 백구십 센티미터가 넘는 장신이었다.,,A,Beginner,초급,1,명사,1
1125,구하다,1) To buy or  purchase or  2) look for or  seek or  want,필요한 것을 얻으려고 찾다. 또는 찾아서 얻다.,look for; obtain,"To look for something needed, or obtain it.",요즘은 불경기라 직장을 구하기가 힘들다.,,B,Intermediate,중급,2,동사,1
1126,국회,The National Assembly,"국민의 대표인 국회 의원들로 이루어져, 법률을 만들고 행정부와 사법부를 감시하는 기능을 하는 국가 기관.",National Assembly; Congress; Parliament,"A government body composed of lawmakers representing the people, which is in charge of making laws and supervising the Executive and Judiciary branches.",우리나라 최초의 국회는 1948년에 수립되었다.,,C,Advanced,중급,1,명사,1
1127,그러므로,So or  hence or  therefore,"앞의 내용이 뒤의 내용의 이유나 원인, 근거가 될 때 쓰는 말.",therefore; so; hence,"An adverb used when the preceding statement is the reason for, grounds for, or condition of the following statement. ",오늘은 비가 온다. 그러므로 오늘 소풍은 내일로 연기되었다.,,B,Intermediate,초급,3,부사,1
1128,포함하다,"To include,contain",어떤 무리나 범위에 함께 들어가게 하거나 함께 넣다.,include; cover; comprehend,To send someone or put something into a certain group or range.,한국어 교육학은 한국어학과 교수학을 포함한다.,,B,Intermediate,,2,동사,1
1129,걱정,Worry,좋지 않은 일이 있을까 봐 두렵고 불안함.,worry; concern; care,"The state of feeling afraid and uneasy, in fear of the possible occurrence of something bad.",나는 좋은 직장에 취직해서 돈에 대한 걱정에서 벗어났다.,,A,Beginner,초급,1,명사,1
1130,결혼하다,Get married,남자와 여자가 법적으로 부부가 되다.,marry	,For a man and a woman to become a legally married couple.,우리는 오랜 연애 끝에 드디어 결혼했다.,,A,Beginner,,2,동사,1
1134,만약,If,있을지도 모르는 뜻밖의 경우.,supposing,An unexpected case or situation that one thinks might happen.,제가 만약에 부자가 된다면 가난한 사람을 도와주겠습니다.,,B,Intermediate,초급,1,명사,1
1135,바르다,Be straight; be honest,종이 등에 풀을 칠해 다른 물체의 표면에 고루 붙이다.,apply; spread,"To apply glue to paper, etc., and attach that to the surface of another object.",어머니는 이사 갈 집에 바를 벽지를 흰색으로 고르셨다.,,B,Intermediate,초급,4,동사,1
1136,세월,"The times, things",흘러가는 시간.,time,The passage of time.,네가 벌써 그렇게 크다니 세월 참 빠르구나.,,C,Advanced,중급,1,명사,1
1137,숨,A breath,사람이나 동물이 코 또는 입으로 공기를 들이마시고 내쉬는 것.,breath,The act of a human or animal breathing air in and out through the nose or mouth.,아이는 숨을 헐떡이며 내게 급하게 뛰어왔다.,,B,Intermediate,중급,1,명사,1
1138,행사,"An event, a function",목적이나 계획을 가지고 절차에 따라서 어떤 일을 시행함. 또는 그 일.,event; occasion; ceremony,An act of performing a certain task with a purpose or plan according to a procedure; or such a task. ,학생들이 솜씨를 뽐내는 교내 행사에 학부모들도 초대되었다.,,B,Intermediate,초급,1,명사,1
1139,깨닫다,to realize sth,"사물의 본질이나 이치, 진리 등을 깊이 생각한 끝에 알게 되다.",realize; perceive; understand,"To realize the essence of an object, principle, truth, etc., after thinking deeply.",아이들은 자라면서 사물의 이치를 깨닫는다.,,C,Advanced,중급,2,동사,1
